max,mean,min,std,spacing,size,image_name
1176.0,190.16773710195085,0.0,153.80200138096433,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0111_prostate.nii.gz
1377.0,207.11189354790582,0.0,178.35701394840197,"[0.5, 0.5, 3.0]","[384, 384, 24]",ProstateX-0039_prostate.nii.gz
1291.0,233.8448683763587,0.0,175.66924982384396,"[0.5625, 0.5625, 3.0]","[320, 320, 23]",ProstateX-0219_prostate.nii.gz
1163.0,223.37256928943452,0.0,159.17386140099458,"[0.5625, 0.5625, 3.0]","[320, 320, 21]",ProstateX-0249_prostate.nii.gz
1337.0,232.59086552372685,0.0,200.75707816322372,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0020_prostate.nii.gz
1408.0,191.6584397700795,0.0,173.11933968351622,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0072_prostate.nii.gz
1060.0,204.4045995522661,0.0,159.61194299809307,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0177_prostate.nii.gz
1141.0,212.5126581747065,0.0,162.07026990830437,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0154_prostate.nii.gz
929.0,172.61819975557384,0.0,147.32113809567892,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0323_prostate.nii.gz
1330.0,222.89611436631944,0.0,164.81191871489685,"[0.5, 0.5, 3.0]","[384, 384, 25]",ProstateX-0120_prostate.nii.gz
1297.0,290.24084686814695,0.0,197.51264652995306,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0046_prostate.nii.gz
1153.0,236.5683021729695,0.0,169.19433151304386,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0007_prostate.nii.gz
1016.0,209.0918537119709,0.0,170.45107599158902,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0340_prostate.nii.gz
1232.0,275.11602284307065,0.0,177.000240998035,"[0.6000000238418579, 0.6000000238418579, 3.0]","[320, 320, 23]",ProstateX-0107_prostate.nii.gz
1401.0,291.8429939896588,0.0,193.8247536655236,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0080_prostate.nii.gz
1275.0,261.2787037417763,0.0,174.86624933463008,"[0.5625, 0.5625, 3.0]","[320, 320, 19]",ProstateX-0227_prostate.nii.gz
1153.0,259.79614222119426,0.0,175.98208441515126,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0015_prostate.nii.gz
1126.0,216.88213575932016,0.0,165.09917424530815,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0044_prostate.nii.gz
1378.0,266.26860323008043,0.0,216.31335355954772,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0184_prostate.nii.gz
1648.0,263.08167506167763,0.0,198.8940295336085,"[0.5625, 0.5625, 3.0]","[320, 320, 19]",ProstateX-0254_prostate.nii.gz
1094.0,250.81678214905753,0.0,172.61311790761314,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0188_prostate.nii.gz
1176.0,212.89102297777322,0.0,171.779290479289,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0304_prostate.nii.gz
1061.0,251.55096731085527,0.0,177.03862495185297,"[0.5625, 0.5625, 5.0]","[320, 320, 19]",ProstateX-0241_prostate.nii.gz
1155.0,228.69782886170503,0.0,173.68323128835502,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0094_prostate.nii.gz
1078.0,229.28935766472387,0.0,176.0222721220182,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0070_prostate.nii.gz
945.0,228.21609943233736,0.0,153.45020445918456,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0084_prostate.nii.gz
1248.0,248.25856106874173,0.0,191.4500773836118,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0176_prostate.nii.gz
911.0,173.8553270484969,0.0,137.7134016976938,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0168_prostate.nii.gz
1261.0,201.87941166392545,0.0,161.54032929247325,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0190_prostate.nii.gz
957.0,219.02494626322752,0.0,166.11293867494888,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0134_prostate.nii.gz
848.0,176.55186535063245,0.0,118.65836250877408,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0146_prostate.nii.gz
1058.0,255.16869439019098,0.0,178.8057107298376,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0009_prostate.nii.gz
862.0,209.99072122852704,0.0,144.99508762964274,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0311_prostate.nii.gz
1127.0,205.11942416397983,0.0,159.25849730145552,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0196_prostate.nii.gz
1913.0,324.5091615696957,0.0,213.40225762869508,"[0.30000001192092896, 0.30000001192092896, 3.0]","[640, 640, 19]",ProstateX-0166_prostate.nii.gz
1249.0,235.25907357029183,0.0,196.207550978503,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0102_prostate.nii.gz
1546.0,260.7608978713768,0.0,204.3023005231655,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0161_prostate.nii.gz
1284.0,188.0947288876488,0.0,166.16396695160267,"[0.6000000238418579, 0.6000000238418579, 3.0]","[320, 320, 21]",ProstateX-0054_prostate.nii.gz
1202.0,212.651634528623,0.0,180.03930849309052,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0320_prostate.nii.gz
1167.0,200.5175241663836,0.0,169.09225876701748,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0089_prostate.nii.gz
1151.0,214.7397407863451,0.0,168.8679269004169,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0118_prostate.nii.gz
1549.0,237.5653001896288,0.0,194.2005551563054,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0066_prostate.nii.gz
1442.0,244.69028120431287,0.0,189.74518445469022,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0083_prostate.nii.gz
1181.0,175.95229989510995,0.0,164.71299103887395,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0125_prostate.nii.gz
878.0,157.26664313717166,0.0,128.22405641373783,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0297_prostate.nii.gz
1328.0,204.5828415138134,0.0,150.84958657256624,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0293_prostate.nii.gz
1194.0,202.46420484397842,0.0,173.0007302349064,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0031_prostate.nii.gz
1218.0,256.6617718240489,0.0,172.81022436082745,"[0.5625, 0.5625, 3.0]","[320, 320, 23]",ProstateX-0201_prostate.nii.gz
1220.0,199.04352161871694,0.0,171.5361687710138,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0056_prostate.nii.gz
1183.0,250.8122818066878,0.0,169.52404016156441,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0060_prostate.nii.gz
1061.0,203.08129818225032,0.0,164.05311079611684,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0141_prostate.nii.gz
1075.0,247.09283996259094,0.0,202.61139468236243,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0183_prostate.nii.gz
1222.0,213.4072220413773,0.0,182.92535528818252,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0121_prostate.nii.gz
1074.0,219.08499020582053,0.0,159.58701776509224,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0331_prostate.nii.gz
1096.0,177.34500282689146,0.0,153.56564651909972,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0069_prostate.nii.gz
967.0,193.81537329244335,0.0,159.919157958072,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0193_prostate.nii.gz
1085.0,221.42806917603252,0.0,152.4595254285358,"[0.5, 0.5, 3.5]","[384, 384, 19]",ProstateX-0090_prostate.nii.gz
1013.0,226.13155258104996,0.0,171.37518851930278,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0117_prostate.nii.gz
1153.0,222.27685966693534,0.0,169.9018027537633,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0029_prostate.nii.gz
1111.0,252.67688290550595,0.0,171.86872841924352,"[0.5625, 0.5625, 3.0]","[320, 320, 21]",ProstateX-0238_prostate.nii.gz
967.0,208.64287937454313,0.0,149.97917137540148,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0033_prostate.nii.gz
1000.0,250.69164182428727,0.0,160.80493309303694,"[0.5, 0.5, 4.0]","[384, 384, 19]",ProstateX-0180_prostate.nii.gz
1366.0,293.4234706182065,0.0,185.9391384764701,"[0.5625, 0.5625, 3.0]","[320, 320, 23]",ProstateX-0244_prostate.nii.gz
1246.0,217.85065089889437,0.0,185.49017292566623,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0275_prostate.nii.gz
1086.0,228.89074956882766,0.0,175.90896536988157,"[0.5, 0.5, 2.999999523162842]","[384, 384, 19]",ProstateX-0150_prostate.nii.gz
1224.0,260.5840838396991,0.0,191.6516786813462,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0104_prostate.nii.gz
969.0,187.48255786561128,0.0,146.63753016201102,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0198_prostate.nii.gz
1295.0,255.8654725713315,0.0,192.04732921640567,"[0.5625, 0.5625, 3.0]","[320, 320, 23]",ProstateX-0217_prostate.nii.gz
1237.0,219.166684765625,0.0,154.50989266688978,"[0.5625, 0.5625, 3.0]","[320, 320, 25]",ProstateX-0265_prostate.nii.gz
1195.0,247.05651891161824,0.0,176.36636585164814,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0076_prostate.nii.gz
1326.0,257.2400795756907,0.0,193.3586958288716,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0130_prostate.nii.gz
769.0,155.7232517464451,0.0,108.57080244656687,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0112_prostate.nii.gz
1060.0,198.4562513563368,0.0,154.86057177761148,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0209_prostate.nii.gz
1136.0,201.93900553385416,0.0,157.8503092165627,"[0.5, 0.5, 3.5]","[384, 384, 19]",ProstateX-0059_prostate.nii.gz
1000.0,161.2377761930053,0.0,136.01824467248548,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0012_prostate.nii.gz
900.0,198.25805050481563,0.0,152.5462513264976,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0182_prostate.nii.gz
1230.0,239.91849950600786,0.0,198.79618648631632,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0334_prostate.nii.gz
1198.0,202.7657276940724,0.0,153.9442347115617,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0144_prostate.nii.gz
1198.0,239.53396017509596,0.0,175.3437467229686,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0065_prostate.nii.gz
1135.0,213.02961632801077,0.0,176.29057369288572,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0170_prostate.nii.gz
1432.0,251.16989474826389,0.0,178.45057304541533,"[0.5, 0.5, 4.5]","[384, 384, 19]",ProstateX-0004_prostate.nii.gz
1188.0,232.20095928394852,0.0,183.44675548016167,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0288_prostate.nii.gz
1130.0,234.431708984375,0.0,166.84900928118645,"[0.5625, 0.5625, 3.0]","[320, 320, 19]",ProstateX-0199_prostate.nii.gz
1087.0,256.3771888692543,0.0,176.3146792638536,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0156_prostate.nii.gz
1438.0,185.65259273468502,0.0,164.9154973527095,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0026_prostate.nii.gz
943.0,232.8842177363167,0.0,159.67847539197953,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0129_prostate.nii.gz
826.0,152.5606540901951,0.0,133.50217770807436,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0136_prostate.nii.gz
1229.0,288.3886303003284,0.0,209.98882003728667,"[0.5, 0.5, 3.5]","[384, 384, 23]",ProstateX-0283_prostate.nii.gz
813.0,182.77813139415923,0.0,131.70223377168415,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0096_prostate.nii.gz
1082.0,243.5285598130254,0.0,164.11472010806006,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0110_prostate.nii.gz
1515.0,318.60464564732143,0.0,217.2782430224333,"[0.5625, 0.5625, 3.0]","[320, 320, 21]",ProstateX-0251_prostate.nii.gz
1081.0,219.91428500382358,0.0,158.09476108002013,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0142_prostate.nii.gz
1352.0,280.90565616036383,0.0,182.66749297559502,"[0.5, 0.5, 3.0]","[384, 384, 23]",ProstateX-0234_prostate.nii.gz
1040.0,237.15602555855241,0.0,163.79091867160233,"[0.5, 0.5, 3.0]","[384, 384, 21]",ProstateX-0332_prostate.nii.gz
921.0,167.6515855577257,0.0,135.0722763592505,"[0.5, 0.5, 3.0]","[384, 384, 20]",ProstateX-0309_prostate.nii.gz
1125.0,288.31534152560766,0.0,197.49562499932216,"[0.5, 0.5, 4.5]","[384, 384, 19]",ProstateX-0162_prostate.nii.gz
969.0,197.6848804853116,0.0,156.26847841980074,"[0.5, 0.5, 3.0]","[384, 384, 19]",ProstateX-0296_prostate.nii.gz
1152.0,257.78645089285715,0.0,185.63260561957202,"[0.5625, 0.5625, 3.0]","[320, 320, 21]",ProstateX-0239_prostate.nii.gz
